Username,Handle,Timestamp,Comments,Likes,Retweets,Text
Debinha Bolsonaro até 2026,@BrandoDebi,2021-11-14T20:22:40.000Z,"Debinha Bolsonaro até 2026A 
@fiocruz
  defende passaporte de vacina no carnaval também ou prefere dar opinião só nos projetos da Lei Rouanet? #jovempannews",,2,2
Rodrigo E.,@rodrigoespinn,2021-11-14T20:12:37.000Z,"Rodrigo E.Em resposta a 
@CorreiaRubens
 @GuilhermeBoulos
 e 
@FlavioBolsonaro",2,,1
Santa Puta,@SantaPuta1,2021-11-14T20:11:02.000Z,"Santa PutaEm resposta a 
@eununcaparo
 @vanessnnavarro
 e 
@LuluSantos",1,,1
mundinho silk sonic br,@unrealhuf,2021-11-14T19:53:35.000Z,mundinho silk sonic brquanto dinheiro da lei rouanet será que os pais desse homem captaram pra fazer esse espetáculo que é ele?,,,2
Ana Carvalho,@Anacarvalhocris,2021-11-14T19:52:27.000Z,"Ana CarvalhoEm resposta a 
@DaniloGentili",,,2
texugo do mel,@wad3wilson69,2021-11-14T19:50:00.000Z,"texugo do melEm resposta a 
@Fiuza_Pistola
 e 
@doutorprepucio",,,3
Rio Brilhante Livre,@rblivre,2021-11-14T19:46:36.000Z,Rio Brilhante LivreMPF quer passaporte sanitário em eventos financiados pela Lei Rouanet,,,
Elcio Rabello tá nervoso vai pescar,@ElcioRabello,2021-11-14T18:39:35.000Z,"Elcio Rabello tá nervoso vai pescarEm resposta a 
@LnguaDeTrapo1
 @FelipeN48923515
 e 
@folha",,,1
Fredson,@fredsonbrito,2021-11-14T18:18:32.000Z,"FredsonEm resposta a 
@fmmrigoni
 e 
@BandJornalismo",,,2
Fredson,@fredsonbrito,2021-11-14T18:15:58.000Z,"FredsonEm resposta a 
@luquinhanotuite
 @mauriciobastaz1
 e 
@BandJornalismo",,,1
Flavião Robô com CPF - A favor do voto auditável.,@flaviani21,2021-11-14T17:52:46.000Z,Flavião Robô com CPF - A favor do voto auditável.Procure um incentivo na Lei Rouanet de lá. Boa sorte.,,1,2
Fulvia Rigoni,@fmmrigoni,2021-11-14T17:49:47.000Z,"Fulvia RigoniEm resposta a 
@BandJornalismo",1,,1
Renata Cruz,@RenataC55180894,2021-11-14T17:45:40.000Z,"Renata CruzEm resposta a 
@DaniloGentili",,,
Felipe Reis,@feereeis,2021-11-14T17:45:09.000Z,"Felipe ReisEm resposta a 
@abocadelobo",1,,2
Marcelo Temoteo,@MarceloTemoteoo,2021-11-14T17:31:03.000Z,"Marcelo TemoteoEm resposta a 
@CapCap_Cris",,,1
dom,@Domihkl,2021-11-14T17:23:40.000Z,"domEm resposta a 
@RevistaISTOE",,,
Viajante,@muralhapatriota,2021-11-14T17:22:15.000Z,"ViajanteEm resposta a 
@FHC",,,
Nara Oliveira,@NaraOli67135489,2021-11-14T17:14:56.000Z,"Nara OliveiraEm resposta a 
@CarlosBolsonaro
 e 
@BrunoEnglerDM",,,
Historiadora sem fronteiras,@MargotBM13,2021-11-14T17:13:02.000Z,"Historiadora sem fronteirasEm resposta a 
@voumimboradaqui",1,,
Paulo Alves Martins,@pmartins_e,2021-11-14T17:08:48.000Z,"Paulo Alves MartinsEm resposta a 
@BolsonaroSP",,,
Rogério Cardoso,@Rogerioderval51,2021-11-14T17:01:47.000Z,"Rogério CardosoEm resposta a 
@GuilhermeBoulos",,,
Rose Casal,@RoseCasal2012,2021-11-14T16:51:30.000Z,"Rose CasalÉ, sem dindin da Lei Rouanet, eles se viram para assegurar alguma renda... em Mooca Z-L",,,
Paulo Batista,@Paulo1850TX,2021-11-14T16:42:04.000Z,"Paulo BatistaEm resposta a 
@CesarFilho",,,1
Aloisio Barbosa braga,@AloisioBarbos16,2021-11-14T16:37:20.000Z,"Aloisio Barbosa bragaEm resposta a 
@BolsonaroSP",,,
Jerry,@Jerrydevolta,2021-11-14T16:35:29.000Z,"JerrySds do dinheirinho fácil da Lei Rouanet...
#BolsonaroReeleito ou o retrocesso.",,2,6
María Garcia!!,@maria_gcia,2021-11-14T16:22:36.000Z,"María Garcia!!Em resposta a 
@freu_rodrigues
 e 
@alissonpantuza",,9,20
duandy,@duandyx,2021-11-14T16:20:35.000Z,"duandyEm resposta a 
@mfriasoficial",,,
Manoel Carvalho,@nelcarvalho,2021-11-14T16:19:39.000Z,"Manoel CarvalhoEm resposta a 
@AgendaDoJair
 e 
@FERAbranches",,,
Gui Ramos,@guiramosduarte,2021-11-14T16:10:01.000Z,"Gui RamosEm resposta a 
@Alessandram492
 @matheusagostin
 e mais 2",,,8
Zeca Andrade,@zecaandradee,2021-11-14T16:04:30.000Z,"Zeca AndradeEm resposta a 
@MariaDo12931787
 @mfriasoficial
 e 
@FilhoTelmo",,,
O Fiscal do Patrimônio Cultural,@DoPatrimonio,2021-11-14T15:56:34.000Z,"O Fiscal do Patrimônio CulturalComo fica aquele idiota da Lei Rouanet que se diz católico e fala que o passaporte é um atentado contra os ""valores cristãos ocidenciais"" (seja lá o que isso significa)?",,,8
Gaucho,@GauchoGuti,2021-11-14T15:51:44.000Z,"GauchoEm resposta a 
@veiakgalhaes
 e 
@Wolllv",,,1
mister John bi octa,@Johnmister9,2021-11-14T15:46:27.000Z,"mister John bi octaEm resposta a 
@MasottiBianca
 e 
@marcatolu96",,,
iva1,@ivapaulany3822,2021-11-14T15:46:22.000Z,"iva1Em resposta a 
@Fernandokabulo5",,,
